,Unnamed: 0,Rate,Adult Occupant,Child Occupant,Vulnerable Road Users,Safety Assist,Tested Model,Body Type,Year Of Publication,Kerb Weight,VIN From Which Rating Applies,Class,Front Airbag-Driver,Belt Pretensioner-Driver,Belt Loadlimiter-Driver,Knee Airbag-Driver,Side Head Airbag-Driver,Side Chest Airbag-Driver,Side Pelvis Airbag-Driver,Centre Airbag-Driver,Isofix/i-Size-Driver,Integrated Child Seat-Driver,Airbag cut-off switch-Driver,Seatbelt Reminder-Driver,Front Airbag-Passenger,Belt Pretensioner-Passenger,Belt Loadlimiter-Passenger,Knee Airbag-Passenger,Side Head Airbag-Passenger,Side Chest Airbag-Passenger,Side Pelvis Airbag-Passenger,Centre Airbag-Passenger,Isofix/i-Size-Passenger,Integrated Child Seat-Passenger,Airbag cut-off switch-Passenger,Seatbelt Reminder-Passenger,Front Airbag-Rear,Belt Pretensioner-Rear,Belt Loadlimiter-Rear,Knee Airbag-Rear,Side Head Airbag-Rear,Side Chest Airbag-Rear,Side Pelvis Airbag-Rear,Centre Airbag-Rear,Isofix/i-Size-Rear,Integrated Child Seat-Rear,Airbag cut-off switch-Rear,Seatbelt Reminder-Rear,Active Bonnet,AEB Vulnerable Road Users,AEB Pedestrian - Reverse,AEB Car-to-Car,Speed Assistance,Lane Assist System
0,1,1,84,89,81.0,81,97,11,2022,2532,139,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,1,0,1,1
1,2,1,87,87,68.0,88,29,25,2022,1423,199,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,1,1
2,3,0,75,84,70.0,69,66,11,2022,1334,125,12,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,1,0,1,1
3,4,1,84,90,74.0,84,221,22,2022,2434,280,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,1,1
4,5,1,84,89,71.0,85,47,11,2022,2123,14,4,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,1,0,1,1
5,6,1,90,87,89.0,91,114,11,2022,2124,173,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,1,1
6,7,1,90,91,78.0,84,116,6,2022,2371,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,1,1
7,8,1,93,89,73.0,83,126,10,2022,2410,180,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,1,0,1,1
8,9,1,92,90,74.0,84,140,11,2022,2000,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,1,0,0,0,1,1
9,10,1,83,80,75.0,78,124,9,2022,1685,179,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,1,0,1,1
10,11,1,84,89,81.0,81,97,11,2022,2532,139,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,1,0,1,1
11,12,1,87,87,68.0,88,29,25,2022,1423,199,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,1,1
12,13,0,75,84,70.0,69,66,11,2022,1334,125,12,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,1,0,1,1
13,14,1,84,90,74.0,84,221,22,2022,2434,280,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,1,1
14,15,1,84,89,71.0,85,47,11,2022,2123,14,4,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,1,0,1,1
15,16,1,90,87,89.0,91,114,11,2022,2124,173,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,1,1
16,17,1,90,91,78.0,84,116,6,2022,2371,176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,1,1
17,18,1,93,89,73.0,83,126,10,2022,2410,180,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,1,0,1,1
18,19,1,92,90,74.0,84,140,11,2022,2000,21,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,1,0,0,0,1,1
19,20,1,83,80,75.0,78,124,9,2022,1685,179,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,1,0,1,1
20,21,0,76,84,78.0,65,170,16,2022,1397,46,8,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,1,0,1,1
21,22,1,84,90,74.0,84,221,22,2022,2434,279,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,0,0,1,1
22,23,1,92,87,60.0,90,225,27,2022,2384,146,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,1,0,1,0,1,1
23,24,0,77,81,62.0,66,234,10,2022,1520,1,9,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,1,1
24,25,0,79,86,67.0,67,42,14,2022,1869,100,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,1,0,1,1
