,Rate,Adult Occupant,Child Occupant,Vulnerable Road Users,Safety Assist,Tested Model,Body Type,Year Of Publication,Kerb Weight,VIN From Which Rating Applies,Class,Front Airbag-Driver,Belt Pretensioner-Driver,Belt Loadlimiter-Driver,Knee Airbag-Driver,Side Head Airbag-Driver,Side Chest Airbag-Driver,Side Pelvis Airbag-Driver,Centre Airbag-Driver,Isofix/i-Size-Driver,Integrated Child Seat-Driver,Airbag cut-off switch-Driver,Seatbelt Reminder-Driver,Front Airbag-Passenger,Belt Pretensioner-Passenger,Belt Loadlimiter-Passenger,Knee Airbag-Passenger,Side Head Airbag-Passenger,Side Chest Airbag-Passenger,Side Pelvis Airbag-Passenger,Centre Airbag-Passenger,Isofix/i-Size-Passenger,Integrated Child Seat-Passenger,Airbag cut-off switch-Passenger,Seatbelt Reminder-Passenger,Front Airbag-Rear,Belt Pretensioner-Rear,Belt Loadlimiter-Rear,Knee Airbag-Rear,Side Head Airbag-Rear,Side Chest Airbag-Rear,Side Pelvis Airbag-Rear,Centre Airbag-Rear,Isofix/i-Size-Rear,Integrated Child Seat-Rear,Airbag cut-off switch-Rear,Seatbelt Reminder-Rear,Active Bonnet,AEB Vulnerable Road Users,AEB Pedestrian - Reverse,AEB Car-to-Car,Speed Assistance,Lane Assist System
1,5,84%,89%,81%,81%,"Jeep Grand Cherokee 2.0 PHEV 'Overland', LHD",- 5 door SUV,2022,2532kg,- all Grand Cherokees,Large Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
2,5,87%,87%,68%,88%,"CHERY OMODA5 1.6T, LHD",- SUV,2022,1423kg,- all OMODA5,Small Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard
3,4,75%,84%,70%,69%,"Ford Puma 1.0 MHEV, 'Titanium', LHD",- 5 door SUV,2022,1334kg,- all Ford Pumas,Supermini,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
4,5,84%,90%,74%,84%,VW Amarok 2.0/Ford Ranger 3.0,- Pick-Up,2022,2434kg,- all double cabin Rangers,Pick-up,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard
5,5,84%,89%,71%,85%,Discovery Sport,- 5 door SUV,2022,2123kg,- SALCP2FX2PH325732,Large Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
6,5,90%,87%,89%,91%,"Lexus RX 2.5 PHEV 'Executive', LHD",- 5 door SUV,2022,2124kg,- all Lexus RX,Large Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard
7,5,90%,91%,78%,84%,"Lucid Air GT, LHD",- 4 door saloon,2022,2371kg,- all Lucid Air,Executive,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Available,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard
8,5,93%,89%,73%,83%,"Maxus MIFA 9, LHD",- 5 door MPV,2022,2410kg,- all MIFA 9's,Large MPV,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
9,5,92%,90%,74%,84%,"Mercedes-Benz GLC 220d 4MATIC AMG-Line, LHD",- 5 door SUV,2022,2000kg,- W1NKM0****F007828 or W1NKM0****U003366,Small Off-Road,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Fitted,Not_Fitted,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard
10,5,83%,80%,75%,78%,MG4 Electric,- 5 door Hatchback,2022,1685kg,- all MG 4 Electrics,Small Family Car,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Applicable,Not_Applicable,Not_Applicable,Fitted_Standard,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard,Not_Available,Not_Available,Not_Available,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Fitted_Standard,Not_Applicable,Fitted_Standard,Not_Available,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Not_Applicable,Fitted_Standard,Not_Available,Fitted_Standard,Not_Available,Fitted_Standard,Fitted_Standard,Fitted_Standard
