index,Adult Occupant,Belt Pretensioner-Rear,Safety Assist,Child Occupant,Class,Side Pelvis Airbag-Rear,Rate
294,87.0,0,60.0,79.0,12,2,1
114,86.0,0,85.0,81.0,8,2,1
52,92.0,0,93.0,83.0,8,2,1
102,88.0,0,82.0,85.0,1,2,1
187,87.0,0,75.0,86.0,10,2,0
300,91.0,0,81.0,80.0,8,2,1
35,94.0,0,98.0,91.0,1,2,1
167,96.0,0,75.0,87.0,8,2,1
160,84.0,0,69.0,86.0,12,2,0
296,82.0,2,57.0,60.0,8,2,0
90,43.0,2,14.0,52.0,12,2,0
4,84.0,0,85.0,89.0,4,2,1
280,88.0,0,58.0,83.0,12,2,0
265,72.0,2,61.0,32.0,7,2,0
24,79.0,0,67.0,86.0,2,2,0
159,92.0,0,74.0,88.0,10,2,1
171,96.0,0,76.0,85.0,8,2,1
170,88.0,0,74.0,85.0,8,2,1
78,70.0,0,39.0,69.0,12,2,0
235,93.0,0,58.0,84.0,10,2,1
61,78.0,0,81.0,78.0,12,1,0
81,91.0,0,81.0,87.0,4,2,1
307,96.0,0,68.0,84.0,10,3,1
272,91.0,0,49.0,79.0,12,2,0
36,88.0,0,91.0,87.0,10,2,1
161,83.0,0,72.0,87.0,8,2,1
89,78.0,2,72.0,87.0,9,2,0
21,84.0,0,84.0,90.0,6,2,1
117,76.0,0,65.0,82.0,8,2,0
201,96.0,0,79.0,86.0,2,2,1
174,88.0,0,68.0,85.0,8,2,0
237,91.0,0,76.0,87.0,10,2,1
5,90.0,0,91.0,87.0,4,2,1
227,93.0,0,82.0,81.0,1,2,1
151,96.0,0,74.0,83.0,10,2,1
82,49.0,0,32.0,56.0,12,2,0
288,93.0,0,60.0,86.0,10,2,1
162,97.0,0,76.0,87.0,2,2,1
277,91.0,0,59.0,85.0,1,2,1
269,95.0,0,60.0,77.0,12,2,1
7,93.0,0,83.0,89.0,3,2,1
175,88.0,0,73.0,85.0,8,2,1
194,93.0,0,76.0,85.0,1,3,1
142,81.0,0,55.0,83.0,12,2,0
115,91.0,0,80.0,88.0,8,3,1
292,82.0,2,43.0,62.0,8,2,0
206,91.0,0,77.0,87.0,2,0,1
128,96.0,0,75.0,90.0,10,2,1
148,91.0,0,68.0,84.0,10,2,0
202,96.0,0,76.0,84.0,2,2,1
179,97.0,0,76.0,87.0,8,3,1
184,95.0,0,77.0,84.0,8,2,1
200,50.0,2,32.0,69.0,4,2,0
302,92.0,0,68.0,83.0,8,2,1
152,89.0,3,62.0,78.0,3,2,0
49,91.0,0,60.0,84.0,10,2,0
37,85.0,0,82.0,83.0,10,1,1
34,88.0,0,91.0,87.0,10,2,1
55,87.0,0,64.0,87.0,2,2,0
91,84.0,0,79.0,82.0,9,2,1
23,77.0,0,66.0,81.0,9,2,0
299,83.0,0,59.0,80.0,8,2,0
266,92.0,0,88.0,67.0,8,2,0
143,94.0,0,72.0,87.0,8,2,1
150,85.0,0,73.0,83.0,1,2,1
10,84.0,0,81.0,89.0,4,2,1
66,92.0,0,89.0,89.0,10,2,1
28,84.0,0,82.0,87.0,4,2,1
124,91.0,0,73.0,87.0,8,0,1
136,92.0,0,76.0,81.0,10,2,1
197,45.0,2,7.0,16.0,12,2,0
234,83.0,0,57.0,80.0,12,2,1
112,93.0,0,80.0,88.0,10,3,1
69,85.0,0,82.0,86.0,8,2,1
132,96.0,0,74.0,83.0,10,2,1
100,82.0,0,92.0,84.0,4,2,1
236,74.0,0,25.0,78.0,8,2,0
254,90.0,0,59.0,83.0,10,2,1
85,89.0,0,87.0,87.0,4,1,1
220,71.0,0,37.0,66.0,10,2,0
165,95.0,0,80.0,85.0,12,2,1
295,82.0,2,25.0,60.0,8,2,0
228,85.0,0,25.0,84.0,8,2,0
260,89.0,0,53.0,79.0,2,2,1
122,92.0,0,80.0,88.0,8,3,1
188,89.0,0,82.0,86.0,10,2,1
131,97.0,0,72.0,83.0,2,2,1
138,94.0,0,73.0,85.0,10,2,1
92,85.0,0,71.0,81.0,8,3,1
241,95.0,0,62.0,80.0,4,2,1
62,90.0,0,87.0,86.0,2,2,1
297,95.0,0,62.0,90.0,1,1,1
259,95.0,0,59.0,80.0,10,2,1
207,95.0,0,73.0,91.0,2,2,1
212,92.0,0,75.0,79.0,9,2,0
274,92.0,0,54.0,77.0,4,2,1
130,96.0,0,72.0,80.0,2,2,1
101,88.0,0,95.0,89.0,2,2,1
50,91.0,0,79.0,84.0,10,2,1
97,86.0,0,81.0,84.0,10,2,1
190,93.0,0,76.0,83.0,4,2,1
308,80.0,0,25.0,73.0,12,2,0
240,90.0,0,77.0,87.0,6,2,1
262,84.0,0,60.0,87.0,10,2,1
258,93.0,0,59.0,84.0,8,2,1
13,84.0,0,84.0,90.0,6,2,1
191,90.0,0,72.0,83.0,4,2,1
305,98.0,0,60.0,81.0,2,2,1
267,88.0,0,68.0,84.0,8,2,1
279,93.0,0,58.0,86.0,4,3,1
261,82.0,0,72.0,73.0,8,2,0
209,91.0,0,68.0,81.0,9,2,0
196,89.0,0,75.0,86.0,4,3,1
134,93.0,0,73.0,87.0,4,3,1
8,92.0,0,84.0,90.0,10,3,1
77,76.0,0,67.0,82.0,12,2,0
58,87.0,0,72.0,86.0,10,2,1
195,95.0,0,85.0,86.0,10,3,1
278,75.0,2,25.0,46.0,9,2,0
232,74.0,2,25.0,63.0,12,2,0
119,84.0,0,83.0,86.0,6,2,1
164,91.0,0,71.0,86.0,12,2,0
287,95.0,0,93.0,80.0,1,2,1
63,93.0,0,82.0,89.0,2,3,1
108,70.0,0,42.0,72.0,8,2,0
156,92.0,0,79.0,88.0,2,3,1
141,81.0,0,55.0,83.0,12,2,0
88,91.0,0,95.0,91.0,10,2,1
199,91.0,0,81.0,81.0,1,2,1
257,85.0,0,25.0,84.0,8,2,0
44,83.0,0,70.0,83.0,10,2,1
249,98.0,0,95.0,87.0,4,2,1
221,69.0,2,29.0,37.0,12,2,0
65,76.0,0,65.0,84.0,8,2,0
60,91.0,0,90.0,93.0,9,2,1
93,92.0,0,82.0,86.0,10,2,1
284,95.0,0,78.0,77.0,10,2,1
273,91.0,0,72.0,79.0,12,2,1
290,91.0,0,82.0,80.0,8,2,1
264,97.0,0,60.0,84.0,4,2,1
157,87.0,0,76.0,86.0,4,0,1
163,80.0,0,69.0,78.0,10,2,0
0,84.0,0,81.0,89.0,4,2,1
252,93.0,0,72.0,85.0,10,2,1
45,83.0,0,70.0,82.0,8,2,1
153,97.0,0,78.0,91.0,10,2,1
40,86.0,0,92.0,89.0,10,2,1
59,91.0,0,90.0,93.0,9,2,1
15,90.0,0,91.0,87.0,4,2,1
46,88.0,0,82.0,87.0,8,2,1
251,96.0,0,71.0,87.0,10,2,1
109,70.0,0,42.0,72.0,12,2,0
104,78.0,2,72.0,87.0,9,2,0
133,73.0,2,55.0,70.0,11,2,0
16,90.0,0,84.0,91.0,1,2,1
286,95.0,0,93.0,80.0,1,2,1
193,91.0,0,68.0,81.0,9,2,0
239,86.0,0,72.0,87.0,10,2,1
116,89.0,0,73.0,81.0,8,3,1
283,90.0,0,73.0,80.0,4,2,1
74,94.0,0,70.0,80.0,12,2,1
110,93.0,0,85.0,89.0,10,2,1
189,94.0,0,73.0,87.0,10,2,1
145,92.0,0,73.0,86.0,10,2,1
38,94.0,0,93.0,87.0,10,2,1
