Adult Occupant,Child Occupant,Vulnerable Road Users,Safety Assist,Tested Model,Body Type,Year Of Publication,Kerb Weight,VIN From Which Rating Applies,Class,Front Airbag-Driver,Belt Pretensioner-Driver,Belt Loadlimiter-Driver,Knee Airbag-Driver,Side Head Airbag-Driver,Side Chest Airbag-Driver,Side Pelvis Airbag-Driver,Rate
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,discrete,continuous,continuous,0 1,continuous,continuous
,,,,,,,,,,,,,,,,,class
84.0,89.0,81.0,81.0,97.0,11.0,2022.0,2532.0,139.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
87.0,87.0,68.0,88.0,29.0,25.0,2022.0,1423.0,199.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
75.0,84.0,70.0,69.0,66.0,11.0,2022.0,1334.0,125.0,12.0,0,0,0,1.0,0.0,0,0.0,4.0
84.0,90.0,74.0,84.0,221.0,22.0,2022.0,2434.0,280.0,6.0,0,0,0,0.0,0.0,0,2.0,5.0
84.0,89.0,71.0,85.0,47.0,11.0,2022.0,2123.0,14.0,4.0,0,0,0,1.0,0.0,0,2.0,5.0
90.0,87.0,89.0,91.0,114.0,11.0,2022.0,2124.0,173.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
90.0,91.0,78.0,84.0,116.0,6.0,2022.0,2371.0,176.0,1.0,0,0,0,0.0,0.0,0,0.0,5.0
93.0,89.0,73.0,83.0,126.0,10.0,2022.0,2410.0,180.0,3.0,0,0,0,1.0,0.0,0,0.0,5.0
92.0,90.0,74.0,84.0,140.0,11.0,2022.0,2000.0,21.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
83.0,80.0,75.0,78.0,124.0,9.0,2022.0,1685.0,179.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
84.0,89.0,81.0,81.0,97.0,11.0,2022.0,2532.0,139.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
87.0,87.0,68.0,88.0,29.0,25.0,2022.0,1423.0,199.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
75.0,84.0,70.0,69.0,66.0,11.0,2022.0,1334.0,125.0,12.0,0,0,0,1.0,0.0,0,0.0,4.0
84.0,90.0,74.0,84.0,221.0,22.0,2022.0,2434.0,280.0,6.0,0,0,0,0.0,0.0,0,2.0,5.0
84.0,89.0,71.0,85.0,47.0,11.0,2022.0,2123.0,14.0,4.0,0,0,0,1.0,0.0,0,2.0,5.0
90.0,87.0,89.0,91.0,114.0,11.0,2022.0,2124.0,173.0,4.0,0,0,0,0.0,0.0,0,0.0,5.0
90.0,91.0,78.0,84.0,116.0,6.0,2022.0,2371.0,176.0,1.0,0,0,0,0.0,0.0,0,0.0,5.0
93.0,89.0,73.0,83.0,126.0,10.0,2022.0,2410.0,180.0,3.0,0,0,0,1.0,0.0,0,0.0,5.0
92.0,90.0,74.0,84.0,140.0,11.0,2022.0,2000.0,21.0,10.0,0,0,0,0.0,0.0,0,0.0,5.0
83.0,80.0,75.0,78.0,124.0,9.0,2022.0,1685.0,179.0,8.0,0,0,0,1.0,0.0,0,0.0,5.0
76.0,84.0,78.0,65.0,170.0,16.0,2022.0,1397.0,46.0,8.0,0,0,0,1.0,0.0,0,2.0,4.0
84.0,90.0,74.0,84.0,221.0,22.0,2022.0,2434.0,279.0,6.0,0,0,0,0.0,0.0,0,2.0,5.0
92.0,87.0,60.0,90.0,225.0,27.0,2022.0,2384.0,146.0,3.0,0,0,0,1.0,0.0,0,2.0,5.0
77.0,81.0,62.0,66.0,234.0,10.0,2022.0,1520.0,1.0,9.0,0,0,0,0.0,0.0,0,2.0,4.0
79.0,86.0,67.0,67.0,42.0,14.0,2022.0,1869.0,100.0,2.0,0,0,0,1.0,0.0,0,0.0,4.0
89.0,87.0,82.0,83.0,75.0,14.0,2022.0,1458.0,81.0,8.0,0,0,0,0.0,0.0,0,2.0,5.0
97.0,87.0,66.0,90.0,81.0,6.0,2022.0,1910.0,149.0,2.0,0,0,0,1.0,0.0,0,0.0,5.0
86.0,86.0,69.0,83.0,92.0,5.0,2022.0,2030.0,95.0,6.0,0,0,0,0.0,0.0,0,2.0,5.0
84.0,87.0,72.0,82.0,177.0,11.0,2022.0,2524.0,218.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
85.0,85.0,69.0,82.0,179.0,11.0,2022.0,2727.0,182.0,4.0,0,0,0,1.0,0.0,0,0.0,5.0
91.0,87.0,73.0,95.0,152.0,6.0,2022.0,2379.0,116.0,1.0,0,0,0,1.0,0.0,0,0.0,5.0
86.0,89.0,74.0,93.0,153.0,11.0,2022.0,1914.0,55.0,10.0,0,0,0,1.0,0.0,0,2.0,5.0
88.0,83.0,69.0,87.0,181.0,10.0,2022.0,1502.0,61.0,3.0,0,0,0,1.0,0.0,0,2.0,5.0
96.0,89.0,71.0,88.0,247.0,11.0,2022.0,1820.0,288.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
88.0,87.0,79.0,91.0,220.0,11.0,2022.0,2060.0,231.0,10.0,0,0,0,1.0,0.0,0,0.0,5.0
