Side Chest Airbag-Driver,Side Chest Airbag-Passenger,AEB Vulnerable Road Users,Side Head Airbag-Driver,Side Head Airbag-Passenger,Seatbelt Reminder-Passenger,AEB Car-to-Car,Belt Loadlimiter-Rear,Belt Pretensioner-Rear,Side Head Airbag-Rear,Lane Assist System,Seatbelt Reminder-Rear,Safety Assist,Speed Assistance,Adult Occupant,Centre Airbag-Driver,Child Occupant,Rate,Tested Model,Isofix/i-Size-Passenger
0,0,0,0,0,0,0,0,0,0,1,0,81.0,1,84.0,2,89.0,5,97,1
0,0,0,0,0,0,0,0,0,0,1,0,88.0,1,87.0,0,87.0,5,29,1
0,0,0,0,0,0,0,0,0,0,1,0,69.0,1,75.0,2,84.0,4,66,1
0,0,0,0,0,0,0,0,0,0,1,0,84.0,1,84.0,0,90.0,5,221,1
0,0,0,0,0,0,0,0,0,0,1,0,85.0,1,84.0,2,89.0,5,47,0
0,0,0,0,0,0,0,0,0,0,1,0,91.0,1,90.0,0,87.0,5,114,1
0,0,0,0,0,0,0,0,0,0,1,0,84.0,1,90.0,0,91.0,5,116,1
0,0,0,0,0,0,0,0,0,0,1,0,83.0,1,93.0,0,89.0,5,126,1
0,0,0,0,0,0,0,0,0,0,1,0,84.0,1,92.0,0,90.0,5,140,1
0,0,0,0,0,0,0,0,0,0,1,0,78.0,1,83.0,2,80.0,5,124,1
0,0,0,0,0,0,0,0,0,0,1,0,81.0,1,84.0,2,89.0,5,97,1
0,0,0,0,0,0,0,0,0,0,1,0,88.0,1,87.0,0,87.0,5,29,1
0,0,0,0,0,0,0,0,0,0,1,0,69.0,1,75.0,2,84.0,4,66,1
0,0,0,0,0,0,0,0,0,0,1,0,84.0,1,84.0,0,90.0,5,221,1
0,0,0,0,0,0,0,0,0,0,1,0,85.0,1,84.0,2,89.0,5,47,0
0,0,0,0,0,0,0,0,0,0,1,0,91.0,1,90.0,0,87.0,5,114,1
0,0,0,0,0,0,0,0,0,0,1,0,84.0,1,90.0,0,91.0,5,116,1
0,0,0,0,0,0,0,0,0,0,1,0,83.0,1,93.0,0,89.0,5,126,1
0,0,0,0,0,0,0,0,0,0,1,0,84.0,1,92.0,0,90.0,5,140,1
0,0,0,0,0,0,0,0,0,0,1,0,78.0,1,83.0,2,80.0,5,124,1
