Adult Occupant,Belt Pretensioner-Rear,Safety Assist,Child Occupant,Class,Side Pelvis Airbag-Rear,AEB Vulnerable Road Users,Rate
84.0,0,81.0,89.0,4,2,0,1
87.0,0,88.0,87.0,10,2,0,1
75.0,0,69.0,84.0,12,2,0,0
84.0,0,84.0,90.0,6,2,0,1
84.0,0,85.0,89.0,4,2,0,1
90.0,0,91.0,87.0,4,2,0,1
90.0,0,84.0,91.0,1,2,0,1
93.0,0,83.0,89.0,3,2,0,1
92.0,0,84.0,90.0,10,3,0,1
83.0,0,78.0,80.0,8,2,0,1
84.0,0,81.0,89.0,4,2,0,1
87.0,0,88.0,87.0,10,2,0,1
75.0,0,69.0,84.0,12,2,0,0
84.0,0,84.0,90.0,6,2,0,1
84.0,0,85.0,89.0,4,2,0,1
90.0,0,91.0,87.0,4,2,0,1
90.0,0,84.0,91.0,1,2,0,1
93.0,0,83.0,89.0,3,2,0,1
92.0,0,84.0,90.0,10,3,0,1
83.0,0,78.0,80.0,8,2,0,1
76.0,0,65.0,84.0,8,2,0,0
84.0,0,84.0,90.0,6,2,0,1
92.0,0,90.0,87.0,3,2,0,1
77.0,0,66.0,81.0,9,2,0,0
79.0,0,67.0,86.0,2,2,0,0
89.0,0,83.0,87.0,8,2,0,1
97.0,0,90.0,87.0,2,2,0,1
86.0,0,83.0,86.0,6,2,0,1
84.0,0,82.0,87.0,4,2,0,1
85.0,0,82.0,85.0,4,2,0,1
91.0,0,95.0,87.0,1,2,0,1
86.0,0,93.0,89.0,10,2,0,1
88.0,0,87.0,83.0,3,2,0,1
96.0,0,88.0,89.0,10,2,0,1
88.0,0,91.0,87.0,10,2,0,1
94.0,0,98.0,91.0,1,2,0,1
88.0,0,91.0,87.0,10,2,0,1
85.0,0,82.0,83.0,10,1,0,1
94.0,0,93.0,87.0,10,2,0,1
88.0,0,92.0,81.0,8,2,0,1
86.0,0,92.0,89.0,10,2,0,1
91.0,0,74.0,89.0,10,2,0,1
95.0,0,81.0,91.0,1,2,0,1
80.0,0,71.0,79.0,8,2,0,0
83.0,0,70.0,83.0,10,2,0,1
83.0,0,70.0,82.0,8,2,0,1
88.0,0,82.0,87.0,8,2,0,1
82.0,0,66.0,87.0,1,2,0,0
89.0,0,88.0,87.0,10,2,0,1
91.0,0,60.0,84.0,10,2,0,0
91.0,0,79.0,84.0,10,2,0,1
88.0,0,76.0,91.0,4,0,0,1
92.0,0,93.0,83.0,8,2,0,1
97.0,0,98.0,87.0,10,2,0,1
91.0,0,94.0,87.0,4,3,0,1
87.0,0,64.0,87.0,2,2,0,0
83.0,0,85.0,85.0,10,2,0,1
93.0,0,80.0,89.0,8,2,0,1
87.0,0,72.0,86.0,10,2,0,1
91.0,0,90.0,93.0,9,2,0,1
91.0,0,90.0,93.0,9,2,0,1
78.0,0,81.0,78.0,12,1,0,0
90.0,0,87.0,86.0,2,2,0,1
93.0,0,82.0,89.0,2,3,0,1
80.0,0,66.0,82.0,8,2,0,0
76.0,0,65.0,84.0,8,2,0,0
92.0,0,89.0,89.0,10,2,0,1
90.0,0,87.0,89.0,0,2,0,1
85.0,0,65.0,86.0,8,2,0,0
85.0,0,82.0,86.0,8,2,0,1
82.0,0,78.0,75.0,10,2,0,0
82.0,0,64.0,81.0,8,2,0,0
91.0,0,91.0,87.0,10,1,0,1
85.0,0,79.0,88.0,8,2,0,1
94.0,0,70.0,80.0,12,2,0,1
94.0,0,70.0,84.0,10,2,0,1
91.0,0,95.0,90.0,4,2,0,1
76.0,0,67.0,82.0,12,2,0,0
70.0,0,39.0,69.0,12,2,1,0
84.0,0,79.0,82.0,9,2,0,1
93.0,0,85.0,89.0,10,2,0,1
91.0,0,81.0,87.0,4,2,0,1
49.0,0,32.0,56.0,12,2,1,0
76.0,0,67.0,80.0,12,2,0,0
89.0,0,88.0,87.0,1,0,0,1
89.0,0,87.0,87.0,4,1,0,1
96.0,0,80.0,91.0,1,2,0,1
80.0,0,80.0,75.0,10,2,0,0
91.0,0,95.0,91.0,10,2,0,1
78.0,2,72.0,87.0,9,2,0,0
43.0,2,14.0,52.0,12,2,2,0
84.0,0,79.0,82.0,9,2,0,1
85.0,0,71.0,81.0,8,3,0,1
92.0,0,82.0,86.0,10,2,0,1
76.0,0,67.0,82.0,10,2,0,0
88.0,0,88.0,86.0,10,2,0,1
86.0,0,70.0,87.0,10,2,0,1
86.0,0,81.0,84.0,10,2,0,1
93.0,0,80.0,89.0,4,3,0,1
96.0,0,81.0,87.0,10,2,0,1
82.0,0,92.0,84.0,4,2,0,1
88.0,0,95.0,89.0,2,2,0,1
88.0,0,82.0,85.0,1,2,0,1
73.0,0,64.0,75.0,10,2,0,0
